uid,prediction
u000366,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u000372,"i001952,i001922,i000554,i001143,i000619,i001069,i000481,i000909,i000947,i000931"
u000373,"i000909,i000481,i000661,i000207,i001069,i001952,i001663,i000521,i000342,i001922"
u000379,"i000481,i000661,i001663,i000909,i000158,i000646,i001143,i001952,i001632,i001049"
u000380,"i001922,i001069,i000481,i000909,i001952,i000521,i001319,i000947,i000695,i001038"
u000382,"i001753,i000481,i001069,i001952,i000909,i001663,i001949,i001906,i000554,i001455"
u000387,"i000207,i000521,i000619,i000481,i001952,i000661,i001515,i001682,i000282,i002056"
u000388,"i001875,i000481,i001069,i000618,i000661,i000554,i001455,i000909,i000521,i001143"
u000391,"i001922,i000619,i000481,i001952,i001673,i000909,i001914,i001455,i000485,i001191"
u000392,"i001320,i001151,i000481,i000360,i000372,i001069,i001952,i000909,i001922,i000207"
u000395,"i001922,i000481,i001069,i000554,i001478,i000342,i000207,i001952,i000661,i001046"
u000414,"i001445,i000481,i001952,i001069,i000909,i001455,i000661,i001673,i001949,i000554"
u000421,"i001922,i000521,i000619,i000481,i000909,i001478,i001038,i001952,i000554,i000485"
u000423,"i001922,i000619,i001069,i000909,i000481,i001753,i000947,i001445,i001663,i000554"
u000427,"i000481,i000909,i000207,i001069,i001952,i001663,i000521,i000661,i000342,i001922"
u000429,"i001922,i000481,i000909,i001952,i000646,i001478,i000521,i001038,i001143,i000207"
u000432,"i000481,i000909,i001069,i001663,i000207,i001952,i000661,i000695,i001922,i000521"
u000434,"i001922,i001143,i000481,i001069,i000695,i000485,i000207,i001240,i001673,i000324"
u000438,"i000909,i001922,i000207,i001069,i001884,i000931,i001952,i000554,i001240,i001673"
u000442,"i000481,i001069,i000207,i000109,i001455,i001445,i002132,i000752,i001952,i000909"
u000453,"i000909,i001143,i000554,i000646,i001046,i000481,i001922,i001952,i000695,i001069"
u000458,"i001069,i000481,i000909,i001038,i000931,i001445,i001713,i001952,i001478,i000661"
u000465,"i000661,i001508,i000437,i000560,i000481,i001069,i001952,i000909,i001922,i000207"
u000474,"i000646,i000481,i001663,i001069,i001952,i000909,i000661,i000521,i001038,i001445"
u000477,"i000554,i001455,i000481,i001673,i001240,i000909,i001069,i001949,i001922,i001952"
u000484,"i001922,i000695,i001682,i002009,i001240,i001688,i000521,i001049,i001663,i000481"
u000487,"i001922,i001143,i000619,i000481,i001038,i001069,i000646,i000909,i001952,i001478"
u000491,"i001069,i000555,i000909,i000324,i000481,i000342,i001922,i001049,i000619,i001930"
u000496,"i001922,i000481,i001069,i000521,i000554,i001952,i001478,i002146,i002132,i001753"
u000501,"i001922,i000481,i000909,i001069,i000207,i000521,i000947,i000109,i001663,i001240"
u000502,"i000521,i000481,i000909,i001069,i001914,i001673,i001922,i001143,i000207,i000554"
u000508,"i001952,i000661,i000481,i001069,i000909,i001455,i001663,i000521,i001046,i000646"
u000516,"i000207,i000554,i000909,i000481,i000109,i001069,i001663,i000661,i001692,i000956"
u000518,"i001949,i000481,i001240,i000554,i001069,i001455,i001952,i001663,i001191,i001445"
u000522,"i001952,i001069,i000661,i000521,i000058,i000646,i001191,i000909,i001143,i000695"
u000541,"i000481,i000909,i000342,i000521,i001952,i001069,i001663,i000661,i000947,i001478"
u000549,"i000842,i000652,i001069,i001952,i001455,i000695,i000909,i000931,i001240,i001049"
u000554,"i001143,i001069,i000481,i001952,i000909,i000109,i000207,i001125,i001649,i000760"
u000555,"i000481,i001069,i001455,i000661,i000695,i000058,i001710,i001952,i000909,i000109"
u000561,"i000521,i001143,i000619,i000481,i001952,i001069,i001663,i001710,i001049,i000485"
u000563,"i001922,i000481,i000909,i001069,i000619,i000646,i001952,i000207,i000521,i001478"
u000569,"i000324,i000555,i000481,i000909,i000110,i001069,i001952,i000521,i000898,i000327"
u000571,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u000572,"i000481,i000822,i001657,i001069,i001952,i000909,i001922,i000207,i000521,i000554"
u000573,"i001038,i000481,i000947,i001952,i001069,i000909,i001663,i000646,i000521,i000661"
u000574,"i000554,i000481,i001069,i001663,i001952,i000521,i000909,i000661,i000518,i000646"
u000581,"i000481,i000661,i000554,i001952,i001069,i001914,i000521,i001143,i001038,i001688"
u000590,"i001711,i001663,i001508,i000481,i001952,i001069,i000518,i001455,i000661,i000931"
u000593,"i000342,i000521,i000481,i000909,i000661,i001952,i001663,i001069,i000646,i001478"
u000600,"i001673,i001455,i001069,i001710,i001445,i000481,i001952,i000909,i000554,i000661"
u000601,"i000481,i001069,i001952,i001038,i000909,i001663,i000661,i000521,i000207,i001046"
u000602,"i001143,i001069,i000481,i001952,i001478,i000909,i000521,i000661,i001976,i000485"
u000604,"i000661,i000481,i001952,i001069,i000207,i000909,i001663,i001038,i000521,i000646"
u000607,"i000554,i001143,i000619,i000481,i000521,i000207,i001069,i000909,i000492,i001445"
u000621,"i000481,i000909,i001069,i001952,i001663,i000661,i000521,i000207,i000324,i001038"
u000624,"i000554,i000481,i000909,i001069,i000555,i001682,i001143,i001049,i001952,i000521"
u000627,"i001922,i001069,i000481,i000909,i001914,i001663,i001046,i001952,i001478,i000619"
u000635,"i001922,i000481,i001069,i000909,i001240,i001710,i000805,i000058,i000554,i001191"
u000647,"i000695,i001462,i001049,i001584,i001688,i000058,i001922,i001240,i001455,i001877"
u000648,"i002009,i001922,i001682,i001335,i001240,i000200,i001801,i001688,i001151,i000006"
u000658,"i001922,i000554,i000909,i001069,i000481,i000109,i001663,i000301,i000521,i001331"
u000663,"i000324,i000555,i000110,i000909,i000760,i000898,i000481,i000521,i001069,i001952"
u000666,"i001922,i001143,i000481,i001952,i001331,i001069,i001038,i001663,i000909,i000646"
u000677,"i000554,i000619,i001069,i000481,i001952,i001663,i000207,i000342,i000909,i001478"
u000682,"i001922,i000619,i000481,i001952,i000909,i000646,i000521,i001069,i001046,i000207"
u000693,"i000909,i001143,i000481,i001952,i001069,i001649,i001945,i000521,i001663,i000554"
u000713,"i000481,i000342,i001069,i000521,i000909,i001663,i001922,i001952,i000619,i000661"
u000714,"i000554,i000661,i001952,i000481,i001663,i001069,i001191,i000842,i001143,i000133"
u000716,"i000481,i000207,i001069,i000909,i001240,i001143,i001191,i001455,i000796,i000554"
u000727,"i001922,i000521,i000481,i001069,i001952,i000909,i000342,i001038,i001663,i000956"
u000735,"i000481,i000554,i001069,i001143,i001922,i002146,i001952,i000485,i001240,i001445"
u000743,"i001151,i001515,i000528,i001362,i001587,i000282,i001046,i001305,i000481,i001069"
u000745,"i001922,i000521,i000481,i001952,i000909,i001069,i001914,i000554,i000207,i000109"
u000749,"i001922,i000554,i000619,i000481,i000909,i001069,i001663,i000207,i000342,i000521"
u000750,"i001922,i001069,i000481,i000909,i001949,i000133,i000521,i000947,i001914,i000342"
u000751,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000661,i000554,i000342"
u000752,"i001217,i000646,i000481,i001922,i000977,i000909,i000521,i000253,i001191,i001069"
u000754,"i001952,i001922,i000619,i001069,i000481,i000909,i000521,i001819,i000442,i001478"
u000763,"i000909,i000528,i000481,i001069,i000661,i001952,i000342,i000554,i000521,i000207"
u000767,"i001069,i000481,i001952,i000909,i000947,i001663,i000521,i000661,i000554,i000342"
u000768,"i000909,i000481,i001069,i000521,i001952,i000342,i000661,i001663,i000324,i001445"
u000771,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000661,i000554,i000342"
u000779,"i000324,i000760,i000110,i000555,i000481,i000909,i001069,i001952,i000521,i000898"
u000780,"i001922,i000481,i000909,i001069,i001952,i000646,i000521,i001663,i001720,i001875"
u000787,"i000661,i000481,i001952,i001069,i000909,i001663,i001038,i000521,i000646,i001455"
u000788,"i000909,i000207,i000481,i001069,i001952,i000661,i001922,i002056,i000554,i001215"
u000790,"i000909,i000481,i001069,i000521,i001952,i000342,i000661,i001663,i000324,i001445"
u000791,"i001922,i000619,i001069,i000481,i000661,i001952,i000521,i002063,i000931,i001682"
u000795,"i001922,i000481,i001069,i000909,i001952,i000760,i001663,i001046,i000646,i000110"
u000805,"i000555,i001573,i001125,i000481,i001069,i000909,i001952,i000207,i000324,i000521"
u000811,"i001682,i001922,i002009,i001335,i001240,i001595,i000200,i001455,i000720,i000909"
u000813,"i000554,i001069,i000481,i001478,i001143,i000133,i001682,i001455,i001277,i001296"
u000819,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u000821,"i000481,i000909,i001069,i001663,i000342,i000324,i000521,i001952,i000695,i001478"
u000822,"i000207,i000521,i001143,i001069,i000481,i000324,i001952,i001038,i000695,i001922"
u000833,"i001069,i001922,i001445,i000909,i000661,i000646,i000931,i000324,i000977,i002063"
u000842,"i001038,i000481,i001952,i001069,i000909,i001663,i001143,i000646,i000521,i000661"
u000853,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000661,i000554,i000342"
u000857,"i001922,i000619,i000481,i001069,i001952,i002056,i001478,i001046,i001038,i001462"
u000859,"i000619,i000909,i000481,i000109,i000695,i001069,i001663,i001673,i000324,i000646"
u000864,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u000874,"i000481,i001663,i001069,i001952,i000909,i000661,i000521,i000207,i001038,i000646"
u000875,"i001922,i000481,i000909,i001069,i000521,i001663,i000324,i001952,i000947,i000109"
u000880,"i002056,i001069,i001801,i001922,i001151,i001952,i000554,i001682,i001673,i000947"
u000881,"i001922,i001143,i000481,i001952,i001455,i000207,i000646,i001478,i001673,i001046"
u000885,"i000521,i000619,i000481,i001069,i000695,i000207,i000554,i001952,i001455,i001191"
u000892,"i001922,i000554,i000619,i000481,i001069,i001952,i000909,i001049,i000324,i000521"
u000901,"i000327,i000110,i000324,i000898,i000481,i000207,i000909,i000555,i001952,i000521"
u000903,"i001922,i000481,i001069,i000661,i000554,i000133,i000909,i001663,i001319,i000521"
u000912,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u000913,"i001922,i000554,i000481,i001952,i000661,i001069,i000521,i000947,i000109,i000619"
u000914,"i001922,i001143,i000619,i000481,i001069,i000909,i000646,i001663,i000251,i000324"
u000927,"i001922,i001143,i000619,i000481,i000324,i000909,i000661,i000342,i001151,i000282"
u000933,"i001445,i000481,i001952,i001069,i000909,i001455,i000661,i001673,i001949,i000554"
u000936,"i000909,i001952,i000481,i001069,i000521,i000342,i000661,i001663,i000324,i001445"
u000937,"i001952,i000481,i001069,i000661,i000909,i001455,i001663,i000521,i001046,i000646"
u000941,"i000481,i001069,i001663,i000661,i001046,i001952,i001478,i000554,i000342,i000947"
u000943,"i000251,i000661,i001069,i000554,i000481,i000909,i001952,i000521,i001445,i001673"
u000944,"i001914,i001649,i000481,i000909,i001069,i001087,i001445,i001455,i000661,i001673"
u000945,"i001069,i000481,i001952,i000485,i000909,i000521,i000661,i001267,i000207,i001922"
u000947,"i000282,i001151,i001515,i000360,i001682,i001922,i000481,i000324,i001952,i000909"
u000948,"i000481,i001069,i001952,i000909,i001663,i000661,i001949,i000521,i000207,i001046"
u000951,"i000342,i000481,i000646,i000909,i000521,i000661,i001952,i001663,i001069,i001478"
u000953,"i000909,i000481,i001069,i000109,i001952,i001922,i000158,i000521,i001663,i000342"
u000957,"i001069,i000521,i001143,i000619,i001922,i001682,i000555,i002009,i001595,i000110"
u000958,"i001069,i000481,i000909,i001663,i001952,i000661,i000695,i001922,i000521,i000646"
u000963,"i001922,i000619,i000481,i001952,i000661,i001069,i001046,i000207,i000909,i001663"
u000964,"i001069,i000207,i000619,i001922,i001673,i001455,i001682,i001952,i001710,i000661"
u000977,"i000521,i001069,i001922,i000324,i000481,i001952,i000745,i000909,i000282,i000158"
u000980,"i000207,i000481,i001922,i000554,i001455,i001673,i000619,i000909,i000661,i001069"
u000988,"i001753,i000481,i001069,i000909,i001952,i001663,i001922,i001240,i000661,i000695"
u001000,"i000481,i001069,i001952,i001455,i000909,i000661,i000554,i001143,i000695,i000110"
u001006,"i000481,i001069,i001663,i000909,i000521,i001143,i000661,i000931,i001949,i001952"
u001008,"i001069,i000554,i001143,i000481,i000909,i001922,i000324,i000521,i000898,i000109"
u001009,"i001069,i000481,i000909,i000207,i000342,i001753,i001906,i001952,i001455,i001508"
u001013,"i000563,i000481,i000521,i001069,i000342,i001663,i002063,i001952,i000909,i000619"
u001016,"i000481,i000909,i000554,i001069,i001952,i000661,i001143,i000695,i000110,i001515"
u001019,"i001922,i001143,i001069,i000481,i000207,i001952,i001945,i000695,i001462,i000521"
u001020,"i000909,i000481,i001069,i001038,i000521,i001952,i000342,i000661,i001663,i000324"
u001022,"i001682,i001922,i002009,i001335,i001240,i001455,i001595,i000200,i000720,i000909"
u001035,"i001922,i000481,i001069,i001952,i000109,i000554,i000909,i001663,i000058,i000401"
u001037,"i001914,i001649,i000909,i001455,i001087,i000481,i001445,i001069,i001673,i001952"
u001041,"i001922,i001069,i001455,i000481,i001952,i000661,i001884,i000909,i001682,i000485"
u001048,"i001049,i001584,i000695,i000401,i001688,i000058,i001922,i001240,i001682,i000909"
u001062,"i001069,i000342,i000521,i000554,i000481,i001952,i000909,i000661,i000947,i001914"
u001065,"i000521,i000554,i000619,i000481,i001952,i001455,i000909,i001682,i001069,i000109"
u001073,"i000481,i001143,i001046,i001191,i001952,i001945,i001240,i000554,i001455,i000485"
u001077,"i000207,i000554,i001143,i000619,i000481,i001952,i001069,i001455,i000521,i001673"
u001078,"i001069,i001952,i000521,i000481,i000554,i000324,i001049,i000058,i000695,i001688"
u001079,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000652,i000661,i000554"
u001081,"i000909,i000481,i000521,i000554,i001143,i001663,i001240,i000931,i001914,i000282"
u001082,"i001952,i001069,i000481,i000661,i000554,i001455,i000521,i001663,i000619,i001922"
u001084,"i000481,i000909,i000207,i001069,i001952,i001663,i000521,i000661,i000342,i001922"
u001087,"i000207,i000521,i000481,i001069,i001952,i001922,i000661,i001875,i000554,i001884"
u001090,"i001069,i001240,i001445,i000652,i000947,i000931,i001455,i000481,i000909,i000661"
u001092,"i001922,i000521,i001143,i000619,i001069,i000956,i001649,i000909,i000481,i000109"
u001103,"i000518,i000481,i001508,i001906,i001069,i001455,i000909,i000661,i001753,i001952"
u001105,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u001110,"i000481,i000909,i001069,i001952,i001663,i000661,i000521,i000207,i001038,i000646"
u001112,"i000110,i000324,i000555,i000909,i000898,i001663,i001455,i001914,i000661,i001673"
u001120,"i001922,i001143,i000481,i001952,i001069,i000619,i000342,i000661,i001949,i000521"
u001124,"i001455,i001673,i001710,i001445,i001069,i001952,i000554,i000481,i000909,i000805"
u001130,"i000554,i000481,i001240,i001455,i000909,i001069,i001949,i001922,i001952,i001445"
u001131,"i001922,i001143,i000481,i001069,i000909,i001952,i000947,i000109,i000570,i000254"
u001142,"i001515,i000282,i001151,i001922,i000481,i001069,i001952,i000324,i000360,i001682"
u001144,"i000207,i000619,i001922,i001952,i001069,i000555,i000661,i001455,i001445,i000521"
u001148,"i001922,i000554,i000481,i001069,i000521,i000619,i001952,i000909,i001267,i001046"
u001151,"i000481,i000521,i000909,i001069,i001663,i001952,i000661,i000695,i001922,i000646"
u001157,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000661,i000554,i000342"
u001159,"i000481,i000521,i000619,i000909,i001069,i000342,i000661,i001952,i000947,i001663"
u001165,"i001508,i000518,i000481,i001952,i001753,i000909,i001069,i000521,i000342,i000661"
u001167,"i001922,i000554,i001069,i000909,i000342,i000485,i000109,i001445,i000254,i000481"
u001170,"i000554,i000481,i001240,i001455,i000909,i001069,i001949,i001922,i001952,i001445"
u001172,"i001922,i000619,i000481,i000909,i001069,i001875,i001663,i000661,i000342,i000207"
u001183,"i001922,i001069,i000481,i001952,i001143,i001816,i000661,i000485,i000133,i000570"
u001184,"i000619,i000481,i000485,i001069,i001663,i000961,i000909,i001952,i000207,i001922"
u001198,"i001240,i001922,i000695,i001335,i000554,i001049,i001191,i001584,i001143,i001688"
u001200,"i001922,i000909,i000481,i001069,i001952,i000207,i000521,i001949,i001445,i000619"
u001212,"i001753,i000481,i001069,i001952,i000909,i001663,i001949,i001906,i000554,i001508"
u001231,"i001143,i001952,i000481,i001069,i000947,i001478,i000909,i000521,i000570,i001331"
u001233,"i001143,i000619,i000481,i001952,i001151,i001922,i000324,i001478,i000207,i001455"
u001239,"i001038,i001069,i000481,i001952,i000909,i001663,i000646,i000521,i000661,i000947"
u001251,"i000661,i000481,i001952,i001069,i001046,i000909,i001663,i001038,i000521,i000646"
u001257,"i001143,i000901,i000511,i000481,i001069,i001952,i000909,i000554,i000521,i001455"
u001259,"i001922,i000481,i000521,i001069,i000207,i000909,i000133,i000554,i001952,i000570"
u001262,"i001922,i000481,i001952,i001069,i001478,i000909,i001688,i000109,i000207,i001753"
u001269,"i000521,i000619,i000481,i001069,i001952,i000661,i000207,i000695,i001673,i001478"
u001277,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u001278,"i001069,i001952,i000186,i000481,i000909,i000521,i001478,i000661,i001663,i001046"
u001285,"i000481,i001069,i001663,i000207,i000342,i001884,i000254,i001267,i001922,i000909"
u001288,"i000251,i001069,i000481,i000909,i001952,i000521,i001445,i000661,i000695,i001673"
u001293,"i000481,i001069,i001952,i001455,i000909,i001673,i001663,i000661,i001710,i000521"
u001297,"i000481,i000521,i001535,i000646,i000561,i000442,i001069,i001952,i000909,i001663"
u001298,"i001952,i001069,i000481,i000619,i000661,i000909,i001455,i001663,i000521,i001046"
u001309,"i000646,i000481,i001663,i001069,i001952,i000909,i000661,i000521,i001038,i001445"
u001310,"i000500,i001445,i001069,i001952,i000481,i000661,i001663,i001455,i000947,i002132"
u001312,"i000481,i001069,i000909,i001952,i001331,i000521,i000661,i000554,i000342,i001038"
u001316,"i001922,i000207,i001143,i000619,i001069,i000481,i000521,i000695,i000909,i001240"
u001317,"i001069,i001663,i000481,i000909,i001952,i000947,i000521,i000661,i000554,i000342"
u001318,"i001069,i001952,i000207,i001143,i000619,i001922,i000481,i000554,i000909,i000324"
u001326,"i000481,i001069,i001952,i000909,i001663,i000661,i000521,i000207,i001038,i000646"
u001329,"i000909,i000481,i001069,i000521,i001952,i000342,i000661,i001663,i000324,i001445"
u001335,"i001663,i000481,i001069,i001952,i000909,i000646,i000554,i001455,i001445,i001922"
u001336,"i000661,i001952,i000481,i001069,i000909,i001663,i001038,i000521,i000646,i001455"
u001339,"i001663,i000481,i001069,i001952,i000646,i000521,i001478,i000909,i000324,i000207"
u001340,"i002132,i000481,i001069,i001952,i000909,i001663,i000158,i001038,i000521,i000661"
u001344,"i000481,i001069,i001663,i000661,i001046,i001952,i000554,i001478,i000342,i001673"
u001358,"i001922,i000521,i001143,i000481,i001069,i000909,i001952,i000947,i000485,i001478"
u001366,"i001922,i000619,i000909,i000481,i001069,i001663,i000646,i001952,i001816,i000109"
u001368,"i001922,i000619,i001069,i000909,i000481,i000554,i000521,i000646,i001663,i001884"
u001377,"i000481,i001069,i000521,i001445,i001914,i000909,i001727,i001305,i001952,i000109"
u001384,"i000661,i000481,i000909,i001952,i000646,i001445,i001478,i000342,i001069,i002063"
u001391,"i000481,i001663,i001478,i000909,i001069,i001952,i000661,i000695,i001922,i000521"
u001395,"i000481,i001069,i000909,i000109,i001663,i000207,i001319,i001952,i001673,i001455"
u001405,"i001069,i001952,i001143,i000909,i001922,i001125,i000481,i000555,i001786,i000811"
u001419,"i001069,i001143,i000619,i000909,i000324,i001922,i001125,i001049,i000485,i001445"
u001424,"i001069,i000481,i001952,i000909,i001663,i000521,i000661,i000947,i001914,i000167"
u001425,"i000481,i001069,i001753,i000909,i001952,i001663,i001922,i001240,i000661,i000695"
u001429,"i000481,i001069,i001952,i001038,i000909,i001663,i000661,i000521,i000207,i000646"
u001437,"i000481,i001663,i001069,i001952,i000909,i000661,i000521,i000207,i001038,i000646"
u001441,"i001069,i001952,i000481,i000521,i000555,i000109,i000619,i001350,i001786,i001569"
u001444,"i001335,i001922,i002009,i001682,i001240,i000200,i000282,i001710,i002056,i001649"
u001446,"i000619,i001952,i000481,i000485,i000521,i001069,i000646,i000554,i001038,i001478"
u001452,"i000324,i000555,i000909,i000760,i000898,i000481,i000521,i001069,i000110,i001952"
u001454,"i001922,i000909,i000481,i000521,i001952,i000554,i001455,i001478,i000947,i001069"
u001463,"i001069,i000481,i000909,i001952,i000947,i001663,i000521,i000661,i000554,i000342"
u001471,"i000695,i000058,i001049,i001688,i001584,i001240,i000401,i001922,i000554,i001455"
u001481,"i001952,i000619,i001922,i000909,i000481,i000521,i000342,i000324,i000554,i001125"
u001483,"i001069,i000909,i000619,i000695,i000481,i001819,i000207,i000521,i000058,i001922"
u001487,"i001922,i000481,i000909,i001952,i001069,i000207,i000521,i000606,i001038,i001109"
u001495,"i000521,i000481,i000646,i000342,i000909,i001952,i001069,i000661,i001663,i000947"
u001496,"i000521,i000481,i000109,i001010,i000518,i000342,i001945,i001753,i001143,i001922"
u001499,"i001069,i000481,i000909,i001952,i001811,i001455,i000661,i000521,i001663,i001191"
u001501,"i001478,i000481,i001069,i000909,i001952,i001663,i000661,i001038,i001445,i000521"
u001504,"i001069,i001455,i000481,i001682,i001922,i001673,i002009,i001952,i001002,i001046"
u001510,"i000521,i001143,i000481,i000695,i001952,i000058,i001478,i000207,i000554,i000485"
u001531,"i000324,i000555,i000909,i000760,i000898,i001753,i000481,i000521,i001069,i000110"
u001532,"i000207,i000521,i000619,i001069,i001455,i000481,i001952,i001673,i001508,i001906"
u001535,"i001240,i001922,i000695,i000554,i001049,i001191,i001584,i001688,i000909,i000058"
u001537,"i000619,i000481,i000909,i001952,i001478,i000554,i001584,i000646,i000485,i000342"
u001544,"i000661,i000270,i001952,i001069,i000481,i000521,i001663,i001673,i001922,i001710"
u001549,"i000481,i001069,i000521,i001952,i000909,i001663,i000661,i000207,i001038,i000646"
u001550,"i000481,i000661,i001952,i001478,i001663,i001038,i001069,i002132,i000158,i000909"
u001554,"i000481,i000342,i001069,i000521,i000909,i001663,i001922,i001952,i000619,i000661"
u001557,"i001478,i000481,i001069,i000909,i001952,i001663,i001046,i000661,i001038,i001445"
